FRAME,TYPE,RMSD
1,Protein,1.9406318664550781
2,Protein,2.28497052192688
3,Protein,2.7026548385620117
4,Protein,3.7094058990478516
5,Protein,3.591984272003174
6,Protein,2.913769483566284
7,Protein,3.284013509750366
8,Protein,3.2243168354034424
9,Protein,3.500077962875366
10,Protein,3.500521421432495
11,Protein,3.575483798980713
12,Protein,3.9359095096588135
13,Protein,3.9368326663970947
14,Protein,4.557485580444336
15,Protein,4.307717800140381
16,Protein,4.616127967834473
17,Protein,4.577101230621338
18,Protein,5.707267761230469
19,Protein,5.756026744842529
20,Protein,5.907442092895508
21,Protein,6.500471115112305
22,Protein,6.375751495361328
23,Protein,6.73708438873291
24,Protein,6.1930389404296875
25,Protein,6.500804424285889
26,Protein,6.85867977142334
27,Protein,6.915298938751221
28,Protein,7.043463230133057
29,Protein,7.1036295890808105
30,Protein,6.882956027984619
31,Protein,7.094062328338623
32,Protein,7.017570972442627
33,Protein,6.913503170013428
34,Protein,6.349922180175781
35,Protein,6.403026103973389
36,Protein,6.411619663238525
37,Protein,6.56386661529541
38,Protein,6.190700054168701
39,Protein,6.0371994972229
40,Protein,5.741792678833008
41,Protein,5.516671180725098
42,Protein,5.9405107498168945
43,Protein,5.904945373535156
44,Protein,5.964033603668213
45,Protein,5.9717254638671875
46,Protein,5.743537425994873
47,Protein,5.980851650238037
48,Protein,5.734554767608643
49,Protein,5.4638671875
50,Protein,5.817814350128174
51,Protein,5.9544806480407715
52,Protein,6.156774044036865
53,Protein,6.269726753234863
54,Protein,6.464118957519531
55,Protein,6.369356632232666
56,Protein,6.137872219085693
57,Protein,6.035665512084961
58,Protein,5.64625883102417
59,Protein,6.147186756134033
60,Protein,6.263594150543213
61,Protein,6.157958984375
62,Protein,5.852707862854004
63,Protein,5.546563148498535
64,Protein,5.842047214508057
65,Protein,5.474554061889648
66,Protein,6.237085819244385
67,Protein,6.6232218742370605
68,Protein,6.483034610748291
69,Protein,6.654592037200928
70,Protein,6.528659820556641
71,Protein,6.571907043457031
72,Protein,6.39736795425415
73,Protein,6.529020309448242
74,Protein,6.84375524520874
75,Protein,6.976821422576904
76,Protein,6.693347454071045
77,Protein,6.711051940917969
78,Protein,6.295341491699219
79,Protein,6.433692932128906
80,Protein,6.46422815322876
81,Protein,6.700276851654053
82,Protein,6.877111434936523
83,Protein,7.355846881866455
84,Protein,6.919790744781494
85,Protein,7.537196636199951
86,Protein,7.464632511138916
87,Protein,7.095235824584961
88,Protein,7.131317138671875
89,Protein,7.213842868804932
90,Protein,7.433511734008789
91,Protein,7.423122406005859
92,Protein,7.819153308868408
93,Protein,7.928811550140381
94,Protein,7.561964511871338
95,Protein,6.768352508544922
96,Protein,7.059045314788818
97,Protein,7.7758588790893555
98,Protein,7.295263767242432
99,Protein,7.196894645690918
100,Protein,7.0490288734436035
101,Protein,7.1533403396606445
102,Protein,7.172844409942627
103,Protein,7.499273300170898
104,Protein,7.69548225402832
105,Protein,7.6808295249938965
106,Protein,7.413815021514893
107,Protein,7.5544939041137695
108,Protein,8.109992980957031
109,Protein,8.236433029174805
110,Protein,7.752972602844238
111,Protein,7.8043975830078125
112,Protein,7.767794132232666
